,제목,주소,조회수,좋아요,싫어요,댓글수,본문내용
20,사장님도 모르는 피자 토핑 꿀조합... 🍕?! 루팡 클라스가 다른 천조국 피자집 알바 리뷰ㅣ워크맨 ep.13,/watch?v=9OUaRBazbaQ,"9,590,004",100000,2300,20,오늘도 어김없이 PO잔머리WER 프로기권러 등장❗️05:05 얼음에 사이다 얹은 거 무엇ㅠㅠ 하여간 중간이 없엌ㅋㅋㅋㅋㅋㅋㅋ+) 도미노피자 알바생이 말하는 도미노피자 맛있게 먹는 꿀팁 대공개🍕 워크맨 workman 도미노피자 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라
21,JTBC로 돌아온 도비 장성규?! 오디오 빌 틈 1도 없는 녹즙 배달 인생 알바 리뷰ㅣ워크맨 ep.12,/watch?v=vZ-usD5ufSc,"7,332,699",87000,1400,20,03:30 녹즙 방문 판매 알바생의 안 흔한 말빨.avi이 정도면 발 대신 입으로 뛰어서 영업하는 수준ㅋㅋㅋㅋㅋㅋ그나저나 와썹맨X워크맨 콜라보 기대해봐도 되는 부분?!ㄷㄷ 워크맨 workman 알바직업리뷰 알바리뷰 풀무원장성규 스튜디오룰루랄라
22,[최초공개] 이제는 말할 수 있는 워크맨 채널의 충격 비화 공개합니다…💧 (feat.팬네임 결과 공개)ㅣ[워크맨],/watch?v=9KfKfYHr1HY,"1,933,379",29000,309,20,워크맨이 더 이상 워크맨 아닐 뻔했던 사연?!ㄷㄷ;;바뀔 뻔한 후보들이 하나같이 진부하다는 팩폭에 정신 못 차리는 중ㅋㅋㅋㅋㅋㅋ 🎊워크맨 인력소 구독자 팬네임 발표🎊 🌟잡(job)것들🌟 덕분에 구독자 60만 찍고 채널 독립까지 했잖아( ͡° ͜ʖ ͡°)~ㅎ카세트 플레이어 이기는 그날까지 열심히 워크맨 홍보하자 잡것들아~~!!!!🐜🐜🐜 워크맨 workman 작명소 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라
23,※장성규도 감당 불가 텐션※ 본격 취중 만담 엉망진창 대잔치 맥주 판촉 알바 리뷰🍺ㅣ워크맨 ep.11 (ENG SUB),/watch?v=I8ohd4o0cvI,"6,307,412",73000,1200,20,장성규도 부담스러워한 ※감당 불가 음주텐션 주의※08:03 당첨 복권 들고서 누구보다 빠른 빤스런ㅋㅋㅋㅋㅋㅋㅋ4시간 일하고 XX만 원;; 쏠쏠한 알바비로 FLEX 도전💸💸💸워크맨 workman 맥주판촉 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라
24,역대급 가’족’같은 분위기🏠 머리카락 대신 목 날아갈 뻔한 미용실 알바 리뷰ㅣ워크맨 ep.10,/watch?v=hSdwuOj2ecA,"8,581,061",95000,1800,20,훈훈한 🖤가’족’같은 분위기🖤 미용실에서일일 스텝 체험 하던 장성규가 발견한 뜻밖의 재능?!(feat. 혹시 망치있어요?🔨)07:47 이정도 실력이면 디자이너 승급 가능함 ㅇㅈ?ㅋㅋㅋㅋㅋㅋㅋㅋ 워크맨 workman 미용실 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라🔔
25,"[속보] “워크맨 채널 독립하자마자 파업 선언해…""",/watch?v=LESegodaX-c,"3,492,551",71000,576,20,경🎊워크맨 인력소 OPEN 🎊축인력소 오픈 기념 신발장 선배님부터 엄마 선배님까지반가운 역대 사수분들도 만나고 옴ㅇㅇ그나저나 채널 독립 5일 만에 총파업 선언 실화?ㅋㅋㅋㅋㅋㅋ✔️영상 좋아요와 채널 구독&알림 설정까지✔️일개미덜아 모하냐!🐜🐜 열심히 워크맨 채널 홍보하자!!!🐜🐜🐜 워크맨 workman 채널독립 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라
26,🐜독립 채널🐜 직원들 꿀복지에 소개팅 트렌드 분석까지 ★갓벽★ 대환장 소개팅어플 회사 현실 리뷰(ft. 애프터각 꿀팁🍯)ㅣ워크맨 ep.6,/watch?v=zeY3P0kPa0I,"5,208,338",44000,1100,20,07:30 시장조사 결과 도랐ㅋㅋㅋㅋㅋ[오늘의 생활 꿀팁] 소개팅 성공 확률을 높이려면?집안의..족보를…살피자… 📕✏️워크맨 workman 스타트업 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 🔔
27,🐜독립 채널🐜(스포X) 어벤져스 스포 차단 꿀팁?! 영화관 알바 만렙이 말하는 알바 리뷰(feat.메가박스/CGV 비교)ㅣ워크맨 ep.1,/watch?v=gScLohLMiCA,"4,932,711",43000,938,20,워크맨이 체험해본 ㄹㅇ 솔직한 영화관 알바 리뷰해드림 (특별출연 : 타노스)영화관 알바가 궁금했던 사람들 모여라 🙋08:13 메가박스 알바 만렙이 갑자기 귀를 틀어막은 이유는…?워크맨 workman 영화관 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 🔔
28,🐜독립 채널🐜 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,/watch?v=ht0Zl9BJCwQ,"6,435,694",54000,1100,20,일하러 왔다가 요리 스킬 만렙 찍을 수 있다는인싸들의 숨은 맛집(?) PC방 알바 리뷰! ※백종원 아저씨는 뒤로가기 버튼을 눌러주세요※06:51 너구X 끓일 때 ‘이것’ 넣으면 저세상 존맛이라고 함ㄷㄷ;;워크맨 workman PC방 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 🔔
29,🐜독립 채널🐜 ※야구덕후 주목※ 덕질하면서 돈 버는 덕업일치 끝판왕 알바는?!ㄷㄷ(feat. SK와이번스)ㅣ워크맨 ep.2,/watch?v=SKsKdLNRDDk,"2,860,487",23000,468,20,⚾️야구계의 덕업일치 끝판왕 알바 등장⚾️ 반도의 흔한 성공한 야덕 선배님이 말하는 2018 한국시리즈 SK 우승 비결은 이것...?ㄷㄷ;;05:38 항상 뒤를 조심해야하는 뜻밖의 이유부터 워크맨과의 티키타카까지 ㄹㅇ완벽ㅋㅋㅋㅋㅋ워크맨 workman 야구장 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 🔔
30,"🐜독립 채널🐜 ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",/watch?v=A0as_-0ObgU,"5,175,209",39000,876,20,"시급 17,000원(?)에 일하면서 공짜 치킨까지! 세상에 이런 알바가 존재한다고요..?🤷‍♂️ 반도의 안 흔한 이색 알바 맥주보이 리뷰 大공개!!!※공짜 치킨, 인센티브 제도는 2019.05 SK행복드림구장 기준입니다.※워크맨 workman 맥주보이 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 🔔"
31,🐜독립 채널🐜 ※댓글 청정 주의※ 몸과 마음이 퓨어하다 못해 푸어...해짐★ 역대급 극한 알바 키즈카페 리뷰ㅣ워크맨 ep.7,/watch?v=QKTEbrFDbEc,"4,449,325",44000,848,20,☠️근무중 멘탈 나감 주의☠️깽 값 청구 가능하냐는 장성규 저세상 드립 무엇ㅋㅋㅋㅋㅋ04:34 이정도면 키즈카페 알바생들 알바계의 보살로 봐야함 ㅇㅈ?(Feat. 메가박스 셀럽 ❄️엘사 선배님❄️과의 뜻밖의 재회)워크맨 workman 키즈카페 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 🔔
32,🐜독립 채널🐜 사장님도 비추하는 극한 ★고깃집 알바★ 솔직 리뷰(ft.고기 잘 구우면 팁 쏟아짐)ㅣ워크맨 ep.4,/watch?v=MnJqDkNwIsk,"4,309,564",48000,849,20,손님들의 💰쏠쏠한 팁까지💰 기대해볼 수 있다는 고깃집 알바 리뷰.soljik03:46 닉값 제대로 하시는 ‘오주목’ 사장님투머치 美친텐션에 웃다가 눈물남ㅋㅋ큐ㅠㅠㅠㅠㅠㅠ워크맨 workman 고깃집알바 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 🔔
33,🐜독립 채널🐜 💵워크맨 사상 의외의 1등 시급 등장!!!💵 방학 단기 알바 끝판왕 전단지 알바 리뷰 (feat. 워크맨 채널 분리 예고ㅇㅇ)ㅣ워크맨 ep.9,/watch?v=Das7SCjARAk,"3,600,710",43000,592,20,여름방학 단기 알바 찾는 사람들 주목ㅇㅇ워크맨 시급 순위 1등에 빛나는🥇단기 알바 끝판왕 전단지 알바 리뷰!워크맨 workman 전단지 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 🔔
34,🐜독립 채널🐜 꿀알바인줄 알고 했다가 골로 갈뻔한 사연ㄷㄷ 여름철 극한 직업 죽음의 워터파크 알바 리뷰ㅣ워크맨 ep.5,/watch?v=DodhBgfzY_c,"4,418,976",45000,809,20,꿀알바 인줄 알았는데 골로 갈뻔한 워터파크 알바 리뷰 05:18 얼굴로 청소하는 줄ㅋㅋㅋㅋㅋㅋ누가 워터파크 알바 꿀알바라고 했냐^_ㅠ…..워크맨 workman 워터파크 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 🔔
