,제목,주소,조회수,좋아요,싫어요,댓글수,본문내용
37,EBS 연습생 펭수의 남극참치 헌정곡 (feat. 요새 핫한 그 참치송!!!!),/watch?v=S9RTFPo58tI,"676,367",18000,101,827,펭수도 남극에 있는 참치가 생각나서그냥 지나칠 수가 없었어싱크로율 어때?
38,"[Ep.48] ""난 서울대 안 갈 건데ㅎ"" 어른들에게 반박해보았다 -명절 잔소리 반대 시위-",/watch?v=LwSxAUzH3GE,"355,062",10000,63,660,"""반에서 몇 등이니?"" 잔소리하면 벌금이 xxxxxxx원이라고?명절 잔소리 유형 + 벌금 뿌셔!"
39,[ep.47] 펭수의 떡집 체험,/watch?v=CJQ5u-RTYys,"494,010",15000,124,932,공포의 효도펭귄 특집! 어르신분들 괜찮아요..?
40,나의 ㄷㅅ을 소개합니다 (feat. EBS 로비에서 컷팅식??),/watch?v=V5oME0lJBio,"309,272",9700,56,554,친구들 펭하!이번에 펭수 EBS 로비에서 컷팅식 했어펭수는 실물이 낫지만 한번 보러 놀러와
41,EP.46 펭수와 구독자 의리테스트!!!!!,/watch?v=x1FfhGkdeiM,"550,312",13000,232,996,펭수와 구독자 의리테스트!! 펭수가 내 눈에만 보인다면?!?!?!????
42,EP.45 매니저가 도망갔다?!???,/watch?v=QpZHvVyV-wc,"1,393,301",23000,300,"1,923",매니저 그만 두겠습니다.지금까지 사랑해주셔서 감사합니다.
43,흥삼선배님하고 뜬금없는 스피드게임 한 썰!,/watch?v=VeMfUxAWuuw,"103,734",3400,27,162,펭수 1인미디어 페스티벌 간거 알지?거기서 흥삼선배님이랑스피드게임 한 썰 푼다!
44,"[Ep.44] 펭수, 드디어 ㄱㅁㅈ을 만났다",/watch?v=TckHOovKE2I,"2,139,816",35000,450,"2,397",1인미디어 페스티벌에 참가한 펭수! 여러 크리에이터들을 만나보았다. 과연 펭수의 인지도는 얼마나 될까?#김명중#섭이는못말려 #진용진 #춤추는곰돌
45,[Ep.43]EBS 복지 클라쓰 전격 공개! [힐링 선물 3종세트],/watch?v=80cyxKBcYXA,"1,591,193",28000,385,"2,361",펭수가 제작진을 위해 준비한게 있다는데..! 이거 좋아해야돼? 말아야돼...? 나라면 펭수 케어 받는다? 안받는다?
46,뜻밖에 힐링되는 저세상 ASMR (feat. 담양특산물 담양빗),/watch?v=9z_LJTXN2Z0,"390,875",17000,50,"1,823",밤늦게까지 잠 못드는 친구들을 위해펭수가 저세상 ASMR 준비해봤어어디 부분이 젤 좋았는 지 말해줘!다음에도 참고해보지
47,[EP.42] 재벌 펭귄이 도서관에 있는 책 몽땅 일시불로 긁은 썰.SSUL,/watch?v=ZH6w_a7u4KU,"859,367",14000,216,"1,508",#펭수#때문에#법인카드#잔고가#텅텅
48,[Ep.41] 본격 남과 북의 대결! 너네 북극곰과 펭귄이 싸우면 누가 이기는지 알아?,/watch?v=FRm8yHtX2Zg,"1,270,825",18000,484,"1,366",남극과 북극을 대표하는 두 극지동물이 일산에서 만났다! 그리고 싸웠다?! 과연 승자는????
49,"펭수의 겨울왕국 Let it go 커버 (feat. 혹독한 여름을 보낸 펭귄의 한풀이) Frozen OST ""Let It Go"" Covered by a Giant Penguin",/watch?v=9eQ0nrVnSeg,"808,117",21000,331,"1,885",친구들 펭하이번 여름 너무 더웠지?유독 혹독한 여름을 보낸 펭수의 한풀이 커버곡이야
50,언박싱하는 펭귄은 처음일걸?! 감동의 선물 언박싱 현장!!,/watch?v=snCxxQCyYk0,"644,353",18000,165,807,"펭수 얼마전에 사인회 한거 알지?친구들이 카트 가득 선물을 줬는데,같이 언박싱 해보는 영상 (기대기대)"
